Loading HF Config...
Loading HF model with dtype=torch.bfloat16...
n_params=6738415616
Placing model on device='cuda:0'...

Loading HF tokenizer...
NOT using autocast...

Generate seed:
42

Generate kwargs:
{'max_new_tokens': 10, 'temperature': 0.0, 'top_p': 1.0, 'top_k': 50, 'repetition_penalty': 1.0, 'no_repeat_ngram_size': 0, 'use_cache': True, 'do_sample': False, 'eos_token_id': 2, 'pad_token_id': 2}

Tokenizing prompts...
Warming up...
Generating responses...
####################################################################################################
[92mHere are some examples of addition problems separated by a semicolon: 476+489=965; 403+214=617; 909+258=1167; 459+834=1293; 577+136=713; 353+179=532; 437+464=901; 936+797=1733; 144+62=206; 517+335=852; 757+50=[0m807; 123+1
[92mHere are some examples of addition problems separated by a semicolon: 476+489=965; 403+214=617; 909+258=1167; 459+834=1293; 577+136=713; 353+179=532; 437+464=901; 936+797=1733; 144+62=206; 517+335=852; 158+778=[0m936; 123+1
####################################################################################################
[92mHere are some examples of addition problems separated by a semicolon: 476+489=965; 403+214=617; 909+258=1167; 459+834=1293; 577+136=713; 353+179=532; 437+464=901; 936+797=1733; 144+62=206; 517+335=852; 852+450=[0m1302; 100+
####################################################################################################
[92mHere are some examples of addition problems separated by a semicolon: 476+489=965; 403+214=617; 909+258=1167; 459+834=1293; 577+136=713; 353+179=532; 437+464=901; 936+797=1733; 144+62=206; 517+335=852; 276+143=[0m419; 123+1
####################################################################################################
[92mHere are some examples of addition problems separated by a semicolon: 476+489=965; 403+214=617; 909+258=1167; 459+834=1293; 577+136=713; 353+179=532; 437+464=901; 936+797=1733; 144+62=206; 517+335=852; 505+565=[0m1070; 100+
####################################################################################################
[92mHere are some examples of addition problems separated by a semicolon: 476+489=965; 403+214=617; 909+258=1167; 459+834=1293; 577+136=713; 353+179=532; 437+464=901; 936+797=1733; 144+62=206; 517+335=852; 568+344=[0m912; 102+1
####################################################################################################
[92mHere are some examples of addition problems separated by a semicolon: 476+489=965; 403+214=617; 909+258=1167; 459+834=1293; 577+136=713; 353+179=532; 437+464=901; 936+797=1733; 144+62=206; 517+335=852; 179+188=[0m367; 123+1
####################################################################################################
[92mHere are some examples of addition problems separated by a semicolon: 476+489=965; 403+214=617; 909+258=1167; 459+834=1293; 577+136=713; 353+179=532; 437+464=901; 936+797=1733; 144+62=206; 517+335=852; 687+530=[0m1217; 1023
####################################################################################################
[92mHere are some examples of addition problems separated by a semicolon: 476+489=965; 403+214=617; 909+258=1167; 459+834=1293; 577+136=713; 353+179=532; 437+464=901; 936+797=1733; 144+62=206; 517+335=852; 862+267=[0m1129; 100+
####################################################################################################
[92mHere are some examples of addition problems separated by a semicolon: 476+489=965; 403+214=617; 909+258=1167; 459+834=1293; 577+136=713; 353+179=532; 437+464=901; 936+797=1733; 144+62=206; 517+335=852; 162+725=[0m987; 123+2
####################################################################################################
[92mHere are some examples of addition problems separated by a semicolon: 476+489=965; 403+214=617; 909+258=1167; 459+834=1293; 577+136=713; 353+179=532; 437+464=901; 936+797=1733; 144+62=206; 517+335=852; 516+878=[0m1394; 123+
####################################################################################################
[92mHere are some examples of addition problems separated by a semicolon: 476+489=965; 403+214=617; 909+258=1167; 459+834=1293; 577+136=713; 353+179=532; 437+464=901; 936+797=1733; 144+62=206; 517+335=852; 415+432=[0m847; 123+1
####################################################################################################
[92mHere are some examples of addition problems separated by a semicolon: 476+489=965; 403+214=617; 909+258=1167; 459+834=1293; 577+136=713; 353+179=532; 437+464=901; 936+797=1733; 144+62=206; 517+335=852; 407+243=[0m650; 221+3
####################################################################################################
[92mHere are some examples of addition problems separated by a semicolon: 476+489=965; 403+214=617; 909+258=1167; 459+834=1293; 577+136=713; 353+179=532; 437+464=901; 936+797=1733; 144+62=206; 517+335=852; 894+663=[0m1557; 123+
####################################################################################################
[92mHere are some examples of addition problems separated by a semicolon: 476+489=965; 403+214=617; 909+258=1167; 459+834=1293; 577+136=713; 353+179=532; 437+464=901; 936+797=1733; 144+62=206; 517+335=852; 352+382=[0m734; 223+2
####################################################################################################
[92mHere are some examples of addition problems separated by a semicolon: 476+489=965; 403+214=617; 909+258=1167; 459+834=1293; 577+136=713; 353+179=532; 437+464=901; 936+797=1733; 144+62=206; 517+335=852; 670+972=[0m1642; 1000
####################################################################################################
[92mHere are some examples of addition problems separated by a semicolon: 476+489=965; 403+214=617; 909+258=1167; 459+834=1293; 577+136=713; 353+179=532; 437+464=901; 936+797=1733; 144+62=206; 517+335=852; 968+830=[0m1808; 1000
####################################################################################################
[92mHere are some examples of addition problems separated by a semicolon: 476+489=965; 403+214=617; 909+258=1167; 459+834=1293; 577+136=713; 353+179=532; 437+464=901; 936+797=1733; 144+62=206; 517+335=852; 189+16=[0m205; 123+1
####################################################################################################
[92mHere are some examples of addition problems separated by a semicolon: 476+489=965; 403+214=617; 909+258=1167; 459+834=1293; 577+136=713; 353+179=532; 437+464=901; 936+797=1733; 144+62=206; 517+335=852; 458+457=[0m915; 123+1
####################################################################################################
[92mHere are some examples of addition problems separated by a semicolon: 476+489=965; 403+214=617; 909+258=1167; 459+834=1293; 577+136=713; 353+179=532; 437+464=901; 936+797=1733; 144+62=206; 517+335=852; 216+836=[0m1052; 123+
####################################################################################################
[92mHere are some examples of addition problems separated by a semicolon: 476+489=965; 403+214=617; 909+258=1167; 459+834=1293; 577+136=713; 353+179=532; 437+464=901; 936+797=1733; 144+62=206; 517+335=852; 820+363=[0m1183; 100+
####################################################################################################
[92mHere are some examples of addition problems separated by a semicolon: 476+489=965; 403+214=617; 909+258=1167; 459+834=1293; 577+136=713; 353+179=532; 437+464=901; 936+797=1733; 144+62=206; 517+335=852; 822+707=[0m1529; 1000
####################################################################################################
[92mHere are some examples of addition problems separated by a semicolon: 476+489=965; 403+214=617; 909+258=1167; 459+834=1293; 577+136=713; 353+179=532; 437+464=901; 936+797=1733; 144+62=206; 517+335=852; 285+681=[0m966; 123+4
####################################################################################################
[92mHere are some examples of addition problems separated by a semicolon: 476+489=965; 403+214=617; 909+258=1167; 459+834=1293; 577+136=713; 353+179=532; 437+464=901; 936+797=1733; 144+62=206; 517+335=852; 491+765=[0m1256; 123+
####################################################################################################
[92mHere are some examples of addition problems separated by a semicolon: 476+489=965; 403+214=617; 909+258=1167; 459+834=1293; 577+136=713; 353+179=532; 437+464=901; 936+797=1733; 144+62=206; 517+335=852; 396+459=[0m855; 123+1
####################################################################################################
[92mHere are some examples of addition problems separated by a semicolon: 476+489=965; 403+214=617; 909+258=1167; 459+834=1293; 577+136=713; 353+179=532; 437+464=901; 936+797=1733; 144+62=206; 517+335=852; 909+636=[0m1545; 1000
